"Timestamp","RuleTitle","Level","Computer","Channel","EventID","MitreTactics","MitreTags","OtherTags","RecordID","Details","ExtraFieldInfo","RuleFile","RuleID","EvtxFile"
"2026-01-14T11:00:02.906502Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312128,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:04.062462Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312129,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:05.306898Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312130,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:06.744503Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312131,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:08.588348Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312132,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:10.338172Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312133,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:10.635128Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312134,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:11.468960Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312135,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:12.671870Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312136,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T11:00:12.718573Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312137,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
